tile,score,parent
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190096/48001F003202511190096 czarno/brudne_48001F003202511190096 czarno_x009_y002.bmp,833.2896273206134,48001F003202511190096 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190096/48001F003202511190096/brudne_48001F003202511190096_x009_y002.bmp,832.1333499046887,48001F003202511190096
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190100/48001F003202511190100 czarno/brudne_48001F003202511190100 czarno_x009_y002.bmp,814.9516236130476,48001F003202511190100 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190100/48001F003202511190100/brudne_48001F003202511190100_x009_y002.bmp,812.6607918245863,48001F003202511190100
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190071/48001F003202511190071/brudne_48001F003202511190071_x005_y002.bmp,798.9690626204392,48001F003202511190071
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190108/48001F003202511190108 czarno/brudne_48001F003202511190108 czarno_x007_y002.bmp,798.5593748763349,48001F003202511190108 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190108/48001F003202511190108/brudne_48001F003202511190108_x007_y002.bmp,798.112288297867,48001F003202511190108
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190098/48001F003202511190098 czarno/brudne_48001F003202511190098 czarno_x009_y002.bmp,795.7505657791953,48001F003202511190098 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190071/48001F003202511190071 czarno/brudne_48001F003202511190071 czarno_x004_y002.bmp,795.142368414221,48001F003202511190071 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190098/48001F003202511190098/brudne_48001F003202511190098_x009_y002.bmp,795.0935333559755,48001F003202511190098
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190098/48001F003202511190098 czarno/brudne_48001F003202511190098 czarno_x011_y002.bmp,794.9418745647563,48001F003202511190098 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190098/48001F003202511190098/brudne_48001F003202511190098_x011_y002.bmp,794.7191452194274,48001F003202511190098
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190071/48001F003202511190071/brudne_48001F003202511190071_x004_y002.bmp,788.4027397924947,48001F003202511190071
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190095/48001F003202511190095 czarno/brudne_48001F003202511190095 czarno_x003_y002.bmp,785.1709844054458,48001F003202511190095 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190095/48001F003202511190095/brudne_48001F003202511190095_x003_y002.bmp,785.1055683165068,48001F003202511190095
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190092/48001F003202511190092 czarno/brudne_48001F003202511190092 czarno_x003_y002.bmp,785.099903325914,48001F003202511190092 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190093/48001F003202511190093 czarno/brudne_48001F003202511190093 czarno_x003_y002.bmp,784.2854263642803,48001F003202511190093 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190092/48001F003202511190092/brudne_48001F003202511190092_x003_y002.bmp,783.6546095819358,48001F003202511190092
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190093/48001F003202511190093/brudne_48001F003202511190093_x003_y002.bmp,783.5326624384616,48001F003202511190093
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190101/48001F003202511190101/brudne_48001F003202511190101_x003_y002.bmp,783.3446346970195,48001F003202511190101
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190067/48001F003202511190067/brudne_48001F003202511190067_x004_y002.bmp,783.2816435095774,48001F003202511190067
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190101/48001F003202511190101 czarno/brudne_48001F003202511190101 czarno_x003_y002.bmp,783.1709346282878,48001F003202511190101 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190071/48001F003202511190071 czarno/brudne_48001F003202511190071 czarno_x005_y002.bmp,782.685914875532,48001F003202511190071 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190040/48001F003202511190040/brudne_48001F003202511190040_x001_y001.bmp,781.6699314654725,48001F003202511190040
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190089/48001F003202511190089 czarno/brudne_48001F003202511190089 czarno_x000_y002.bmp,781.5452594517265,48001F003202511190089 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190089/48001F003202511190089/brudne_48001F003202511190089_x000_y002.bmp,780.1976451958908,48001F003202511190089
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190067/48001F003202511190067 czarno/brudne_48001F003202511190067 czarno_x004_y002.bmp,777.44017104269,48001F003202511190067 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190040/48001F003202511190040 czarno/brudne_48001F003202511190040 czarno_x001_y001.bmp,777.439426496745,48001F003202511190040 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190110/48001F003202511190110 czarno/brudne_48001F003202511190110 czarno_x005_y002.bmp,772.4408422631823,48001F003202511190110 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190111/48001F003202511190111 czarno/brudne_48001F003202511190111 czarno_x004_y002.bmp,772.3543313909468,48001F003202511190111 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190107/48001F003202511190107 czarno/brudne_48001F003202511190107 czarno_x003_y002.bmp,771.7220798255621,48001F003202511190107 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190110/48001F003202511190110/brudne_48001F003202511190110_x005_y002.bmp,771.1686880642228,48001F003202511190110
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190107/48001F003202511190107/brudne_48001F003202511190107_x003_y002.bmp,770.339872537239,48001F003202511190107
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190111/48001F003202511190111/brudne_48001F003202511190111_x004_y002.bmp,768.9532977386989,48001F003202511190111
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190096/48001F003202511190096/brudne_48001F003202511190096_x007_y002.bmp,767.3932825128759,48001F003202511190096
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190077/48001F003202511190077/brudne_48001F003202511190077_x000_y002.bmp,766.7371858661681,48001F003202511190077
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190096/48001F003202511190096 czarno/brudne_48001F003202511190096 czarno_x007_y002.bmp,765.8255614796653,48001F003202511190096 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190077/48001F003202511190077 czarno/brudne_48001F003202511190077 czarno_x000_y002.bmp,764.7059133276489,48001F003202511190077 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190092/48001F003202511190092 czarno/brudne_48001F003202511190092 czarno_x004_y002.bmp,763.6265087798383,48001F003202511190092 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190073/48001F003202511190073/brudne_48001F003202511190073_x000_y002.bmp,763.0337723944249,48001F003202511190073
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190071/48001F003202511190071 czarno/brudne_48001F003202511190071 czarno_x003_y002.bmp,762.5131047461764,48001F003202511190071 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190092/48001F003202511190092/brudne_48001F003202511190092_x004_y002.bmp,762.4913000030538,48001F003202511190092
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190073/48001F003202511190073 czarno/brudne_48001F003202511190073 czarno_x000_y002.bmp,761.7664434950711,48001F003202511190073 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190071/48001F003202511190071/brudne_48001F003202511190071_x003_y002.bmp,758.4984014086112,48001F003202511190071
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190099/48001F003202511190099/brudne_48001F003202511190099_x001_y002.bmp,755.3568998817937,48001F003202511190099
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190082/48001F003202511190082 czarno/brudne_48001F003202511190082 czarno_x001_y002.bmp,754.7958885650733,48001F003202511190082 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190072/48001F003202511190072 czarno/brudne_48001F003202511190072 czarno_x004_y002.bmp,753.0946335322369,48001F003202511190072 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190099/48001F003202511190099 czarno/brudne_48001F003202511190099 czarno_x001_y002.bmp,752.0665582567599,48001F003202511190099 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190072/48001F003202511190072/brudne_48001F003202511190072_x004_y002.bmp,752.0350698877337,48001F003202511190072
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190102/48001F003202511190102 czarno/brudne_48001F003202511190102 czarno_x007_y002.bmp,751.1882696771645,48001F003202511190102 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190102/48001F003202511190102/brudne_48001F003202511190102_x007_y002.bmp,750.779629492321,48001F003202511190102
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190063/48001F003202511190063/brudne_48001F003202511190063_x004_y002.bmp,749.9573548415356,48001F003202511190063
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190117/48001F003202511190117 czarno/brudne_48001F003202511190117 czarno_x005_y002.bmp,749.9382375358582,48001F003202511190117 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190108/48001F003202511190108/brudne_48001F003202511190108_x005_y002.bmp,749.3677555875365,48001F003202511190108
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190097/48001F003202511190097/brudne_48001F003202511190097_x000_y002.bmp,749.023085847497,48001F003202511190097
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190108/48001F003202511190108 czarno/brudne_48001F003202511190108 czarno_x005_y002.bmp,748.9534515145679,48001F003202511190108 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190119/48001F003202511190119/brudne_48001F003202511190119_x005_y002.bmp,748.8211865162157,48001F003202511190119
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190105/48001F003202511190105/brudne_48001F003202511190105_x005_y002.bmp,746.9761243975372,48001F003202511190105
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190097/48001F003202511190097 czarno/brudne_48001F003202511190097 czarno_x000_y002.bmp,746.8461191165588,48001F003202511190097 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190081/48001F003202511190081/brudne_48001F003202511190081_x002_y002.bmp,746.6812048814063,48001F003202511190081
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190105/48001F003202511190105 czarno/brudne_48001F003202511190105 czarno_x005_y002.bmp,746.4711792999879,48001F003202511190105 czarno
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190082/48001F003202511190082/brudne_48001F003202511190082_x001_y002.bmp,745.2551755777095,48001F003202511190082
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190081/48001F003202511190081 czarno/brudne_48001F003202511190081 czarno_x002_y002.bmp,744.8955235561734,48001F003202511190081 czarno
